Time (sec),AF Correction 1,AF Learning 1,AF Sensor 1 Ratio,Accelerator Position,Barometric Pressure,Boost Limits Base FINAL Abs Extended,Boost Target FINAL Abs Extended,Calculated Load,Calculated Load Extended,Catalyst Temperature,Closed Loop Fuel Target,Coolant Temperature,Dynamic Advance Final,Dynamic Advance Multiplier,Engine Speed,Feedback Knock Correction,Fine Knock Learning,Fuel Injector Timing CRANKING TABLE,Fuel Pressure Target Main TABLE,Fuel Pump Duty,Gear Position ESTIMATED,Ignition Timing,Intake Temperature Manifold,Intake Temperature Pre Turbo,Knock Sensor Level Threshold Cylinder 1,Knock Sensor Level Threshold Cylinder 2,Knock Sensor Level Threshold Cylinder 3,Knock Sensor Level Threshold Cylinder 4,Knock Sensor Noise Level Cylinder 1,Knock Sensor Noise Level Cylinder 2,Knock Sensor Noise Level Cylinder 3,Knock Sensor Noise Level Cylinder 4,Knock Sum,Manifold Abs Pressure,Manifold Abs Pressure Extended BOOST CONTROL,Manifold Abs Pressure Extended RAW,Mass Airflow Corrected FINAL,Mass Airflow Corrected SD,Oil Temperature,Primary Ignition,Requested Torque,Throttle Position,Vehicle Speed,Wastegate Duty,Wastegate Duty Cycles High TABLE,Wastegate Duty Cycles Low TABLE,Wastegate Duty Max,Manifold Rel Pressure Extended,Inj Duty Cycle
0.354,1.56,8.59,1.01,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,713,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.24,2.18,3.04,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.49
0.380,1.56,8.59,1.01,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,711,0.00,0.00,40,30.2,71.8,0,5.00,59,58,2662,2867,2611,2560,0,0,0,0,20,0.25,0.24,0.25,2.18,3.03,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.400,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,711,0.00,0.00,40,30.2,71.8,0,5.00,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.18,3.03,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.420,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,711,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.25,2.18,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.453,1.56,8.59,1.01,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,708,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.18,3.02,96,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.474,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,707,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.17,3.01,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.493,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.17,3.00,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.512,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.5,1.00,90,0.00,1.0000,706,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.18,3.01,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.533,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,707,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.24,2.18,3.00,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
0.553,1.56,8.59,1.00,0.0,0.90,0.2,0.59,0.18,0.18,253.4,1.00,90,0.00,1.0000,707,0.00,0.00,40,30.2,71.8,0,5.50,59,58,2662,2867,2611,2560,0,0,0,0,20,0.24,0.24,0.25,2.18,3.02,97,17.00,0.00,5.1,0,0.00,0.00,0.00,0.00,-0.66,0.48
